id,name,surname,birthdate,email
0,Flora,Grossi,19/08/1989,augusto04@tiscali.it
1,,,23/05/1978,loretta89@novaro.it
2,Greca,Trobbiani,08/03/1964,Unknown
3,Corrado,Casaleggio,15/12/1975,giancarlo19@gmail.com
4,Rossana,Pellico,14/04/1965,Unknown
5,Serena,Doria,04/08/1957,rbramante@outlook.com
6,Ida,Draghi,24/08/1984,giustino84@tin.it
7,Calogero,Luxardo,14/11/1994,giovannifilzi@petrassi-comisso.org
8,Luca,Cocci,23/10/1970,
9,Benvenuto,Modugno,13/08/1979,
10,Imelda,Bernardi,,rtorricelli@gmail.com
11,Beatrice,Contarini,18/05/1938,uiacovelli@gmail.com
12,Coriolano,Soderini,09/04/1938,tonia12@tiscali.it
13,Leonardo,Capone,13/03/1937,satrianigioachino@pedroni-zecchini.com
14,Leone,Casellati,24/06/1948,iolandafornaciari@outlook.com
15,Coluccio,Callegaro,03/12/1951,badoererika@panatta.com
16,Patrizio,Cannizzaro,02/03/1965,isabella40@fastwebnet.it
17,Biagio,Sauli,02/10/1954,tomeimilo@giulietti.eu
18,Michele,Samele,16/11/1953,flavia83@nugnes.net
19,Gastone,Luna,18/09/1975,gianluigi83@crisafulli.it
20,Giulietta,Cipolla,22/06/1972,gaulenti@libero.it
21,,,,lbernini@simeoni.org
22,,,03/03/1974,zsagese@fastwebnet.it
23,Ezio,Zaccagnini,20/01/1946,umberto76@morucci.it
24,Luciana,Caetani,21/06/1948,
25,Imelda,Altera,09/05/1969,renata95@ravaglioli.com
26,Dionigi,Ossani,09/12/1948,pompeovarano@samele.it
27,Baldassare,Ginese,02/11/1969,umarenzio@gramsci.it
28,Ettore,Vidoni,22/05/1948,galasso67@totino.org
29,Martino,Bettin,23/10/1995,teresa68@tiscali.it
30,Laura,Fabbri,09/03/1973,alonziletizia@virgilio.it
31,Guglielmo,Galtarossa,27/12/1932,ezio95@ostinelli.it
32,Rosa,Scaramucci,30/04/1972,petrassirosario@outlook.com
33,Dino,Busoni,16/05/1968,jolandarossellini@interiano.com
34,Gabriele,Gramsci,01/04/2003,gentileschiguarino@galilei.net
35,Lazzaro,Gramsci,13/05/1999,cassandra13@gmail.com
36,Sandro,Carosone,09/06/1950,laura23@tiscali.it
37,Loredana,Molesini,12/08/1941,rembrandt93@necci-bruscantini.eu
38,Ludovica,Caccianemico,08/06/1988,vendittipuccio@gmail.com
39,Sebastiano,Fiorucci,13/03/2000,Unknown
40,Amadeo,Blasi,10/09/1982,wdruso@tim.it
41,Giampaolo,Ferraris,,
42,Francesca,Notarbartolo,10/03/1965,roman76@basadonna.org
43,Gian,Vento,01/09/1989,hmazzini@tiscali.it
44,Amalia,Luzi,13/11/1959,guarinofittipaldi@bonaventura.com
45,Gastone,Innocenti,25/03/1954,filippamannoia@valentino.eu
46,Isabella,Scalfaro,19/05/1965,Unknown
47,Amalia,Camicione,30/08/1969,dariagonzaga@faranda.it
48,Raffaellino,Foletti,27/04/1957,dboitani@libero.it
49,Teresa,Legnante,26/11/2005,
50,Vincentio,Gatto,23/11/1979,paolatassoni@canil.com
51,Enzio,Travia,24/05/1954,delfino90@libero.it
52,Sergius,Chiaramonte,01/12/1985,qvirgilio@romagnoli.org
53,Gianluca,Borzomì,17/02/1956,angelinasollima@interminelli.it
54,Durante,Trupiano,17/06/1980,tparri@rocca.org
55,Piergiorgio,Cuzzocrea,18/05/1969,gabriella82@hotmail.it
56,Gioacchino,Mennea,21/06/1989,azegliobellini@bonaventura-novaro.it
57,Piergiuseppe,Comboni,18/03/1954,dusefrancesca@pizzamano.com
58,Leone,Grassi,06/03/1948,
59,Ferdinando,Lamborghini,21/03/1963,bernardo79@vodafone.it
60,Marcella,Gualandi,05/11/1966,civaschiserena@interminei.it
61,Lando,Castelli,08/01/1951,enzio31@golgi.com
62,Diana,Bernardini,10/04/1979,opisani@hotmail.it
63,Giuliana,Carpaccio,25/04/2005,paolettigriselda@barracco-musatti.it
64,Susanna,Morabito,,gaetanogibilisco@tim.it
65,Nadia,Giannetti,,landocasale@gmail.com
66,Rolando,Caruso,02/06/1962,wbaggio@ariosto.com
67,Fernanda,Garrone,10/07/1989,
68,Ottavio,Vigorelli,23/07/1957,
69,Ruggiero,Ruggieri,04/08/1957,Unknown
70,Lorenzo,Lovato,25/04/1983,jcivaschi@tim.it
71,Giada,Santoro,24/09/2003,
72,Michelotto,Paolucci,29/06/1975,tostopiermaria@gaggini.it
73,Pierpaolo,Giusti,28/12/1940,uopizzi@cherubini-morabito.it
74,Virgilio,Sgalambro,26/07/1977,pisanoliana@boccherini-telesio.it
75,Bartolomeo,Papafava,,vincenzo32@libero.it
76,Giacinto,Gianetti,16/03/1995,antoniatedesco@alfonsi-gabba.com
77,Aurora,Blasi,23/09/1946,petrucellisilvia@cardano.net
78,Letizia,Guinizzelli,25/09/1947,
79,Antonia,Vasari,11/08/2002,palazzomargherita@foconi-solari.org
80,Gianni,Bataglia,07/07/1964,spelli@botticelli.it
81,Paoletta,Collodi,15/11/2005,Unknown
82,Giorgia,Fagiani,23/04/1969,rgagliardi@mennea.com
83,,,11/02/1936,Unknown
84,Ippazio,Rocca,03/10/1944,elisacrespi@fastwebnet.it
85,Liliana,Capone,13/11/1934,mennealuisa@ricci.it
86,Germana,Cremonesi,14/01/1947,natalialucciano@alice.it
87,Hugo,Pisaroni,09/09/1946,leopoldo23@barsanti.it
88,Vito,Zaccardo,21/08/1957,kfranscini@favata.com
89,Paulina,Bocelli,21/10/1982,gianmarco66@parri-spinelli.com
90,,,11/05/1971,queriniberenice@fastwebnet.it
91,Michela,Volterra,19/12/1936,rocco14@geraci.com
92,Liana,Lerner,02/08/1994,casarinstefano@perini.it
93,Daniele,Majorana,14/09/1936,sergiuscorrer@venditti-trobbiani.eu
94,,,05/04/1965,graziano28@gmail.com
95,Nicoletta,Paolini,02/08/1969,jballa@bramante.it
96,Enzio,Benigni,26/04/1995,etta35@moschino.it
97,Graziella,Bignardi,24/04/1980,Unknown
98,Romina,Cappelli,04/10/1999,nadia78@vodafone.it
99,Marco,Giorgetti,25/06/1967,opacetti@alice.it
