id,name,surname,birthdate,email
0,Claudia,Cavanna,16/08/1998,giosuegreco@luxardo.com
1,Gianluca,Draghi,07/06/1995,federigoparpinel@tim.it
2,Antonino,Cignaroli,22/06/1933,mcherubini@guidotti-tirabassi.it
3,Annamaria,Sanudo,27/07/1975,vincenzaeinaudi@grasso.it
4,Sophia,Gualtieri,09/07/1988,reniercorrado@tin.it
5,Damiano,Baglioni,09/06/1941,fredoscarpa@libero.it
6,Annamaria,Vigliotti,19/01/1975,alberico79@mengolo-cimini.it
7,Alessio,Maffei,15/08/1994,teresacasale@lucciano.com
8,Tatiana,Sollima,19/01/1995,azeglio80@gagliano.eu
9,Giuliana,Cavanna,22/09/2002,fernanda99@hotmail.com
10,Gino,Bernardi,17/02/1991,marissa94@colletti.net
11,Maura,Giusti,09/04/1991,susanna51@gasperi-baroffio.it
12,Lauretta,Jilani,20/02/1978,cassandramonicelli@gatto-camuccini.net
13,Dario,Albertini,06/06/1980,roberta80@virgilio.it
14,Augusto,Ruffini,07/02/1985,lcardano@tiscali.it
15,Santino,Ginesio,26/03/1972,callegarocaterina@libero.it
16,Nico,Scarlatti,04/01/1999,piacentinielvira@vodafone.it
17,Benvenuto,Volta,18/09/1977,trevisanichiara@castelli-babbo.com
18,Baccio,Frescobaldi,03/02/1993,piermaria22@live.com
19,Ruggero,Sonnino,09/06/1991,tpratesi@hotmail.com
20,Piergiorgio,Luria,31/12/1986,qmagnani@tele2.it
21,Coluccio,Trussardi,31/12/1943,bompianimaurilio@poste.it
22,Claudio,Majorana,20/10/1982,dario29@live.com
23,Dino,Nolcini,17/11/1993,gioffre02@colletti-moccia.com
24,Coriolano,Gottardi,20/08/1993,collettisantino@doglioni.eu
25,Marcella,Turati,12/07/1939,ezanzi@verdone.it
26,Alphons,Peruzzi,02/09/1961,alfio82@albertini.it
27,Fabrizio,Priuli,23/02/1988,vianellonedda@maggioli.net
28,Toni,Ruffini,12/08/1933,kbotta@fogazzaro.it
29,Annibale,Navarria,06/06/1934,tiziano45@tassoni-vendetti.net
30,Vincentio,Favata,22/03/1968,udinesepiergiorgio@platini.com
31,Maurizio,Foscari,26/11/2004,domenicocalvo@libero.it
